edge_idx,source,source_role,relationship,edge_rank,target,target_role,year,url
1042,Daniel Inouye,government,collaborated_with,1,AATIP,government,2007,
1108,Harry Reid,government,collaborated_with,1,AATIP,government,0,
1299,Ted Stevens,government,collaborated_with,1,AATIP,government,0,
1106,Harry Reid,government,collaborated_with,1,Daniel Inouye,government,2007,
1183,Kristen Gillibrand,government,collaborated_with,1,Harry Reid,government,0,
1109,Harry Reid,government,collaborated_with,1,Robert Bigelow,entrepreneur,0,The UFO Reporter Part 2: The Files of George Knapp | NewsNation Prime
1107,Harry Reid,government,collaborated_with,1,Ted Stevens,government,2007,
1043,Danny Sheehan,lawyer,collaborated_with,1,Stanton Friedman,scientist,0,
1133,Jeffrey Nuccetelli,military,collaborated_with,1,Chaz King,military,0,
1044,David Fravor,military,collaborated_with,1,David Grusch,military,0,
1066,Donald Keyhoe,military,collaborated_with,1,NICAP,civ org,1956,
1242,Robert Salas,military,collaborated_with,1,NICAP,civ org,1967,
1168,John Alexander,military,collaborated_with,1,NIDSci,civ org,1996,
1243,Robert Salas,military,collaborated_with,1,Steven Greer,author,0,
1045,David Fravor,military,collaborated_with,1,Tim Gallaudet,military,0,
1177,Karl Nell,military,collaborated_with,1,TTSA,civ org,2019,
1038,Colm Kelleher,scientist,collaborated_with,1,AATIP,government,,
1125,James Lacatski,scientist,collaborated_with,1,AATIP,government,2007,
1039,Colm Kelleher,scientist,collaborated_with,1,AAWSAP,government,,
1129,James Lacatski,scientist,collaborated_with,1,AAWSAP,government,,
1040,Colm Kelleher,scientist,collaborated_with,1,BAASS,civ org,,
1082,Garry Nolan,scientist,collaborated_with,1,David Grusch,military,0,
1101,Hal Puthof,scientist,collaborated_with,1,Eric Davis,scientist,2007,
1035,Colm Kelleher,scientist,collaborated_with,1,George Knapp,author,2007,
1126,James Lacatski,scientist,collaborated_with,1,George Knapp,author,2007,
1127,James Lacatski,scientist,collaborated_with,1,Harry Reid,government,2007,
1006,Allen Hynek,scientist,collaborated_with,1,Jacques Valle,author,0,
1083,Garry Nolan,scientist,collaborated_with,1,Jacques Valle,author,0,
1036,Colm Kelleher,scientist,collaborated_with,1,James Lacatski,scientist,2007,
1102,Hal Puthof,scientist,collaborated_with,1,James Lacatski,scientist,0,
1131,Jay Stratton,scientist,collaborated_with,1,James Lacatski,scientist,0,
1007,Allen Hynek,scientist,collaborated_with,3,Mark Rodeghier,tbd,0,
1037,Colm Kelleher,scientist,collaborated_with,1,NIDSci,civ org,1996,
1084,Garry Nolan,scientist,collaborated_with,1,Peter Skafish,scientist,0,"Jeff Nuccetelli, Chaz King, Leslie Kean: Firsthand UAP Hearing Disclosures | The Sol Forum - YouTube"
1004,Allen Hynek,scientist,collaborated_with,1,Project Blue Book,government,1952,
1005,Allen Hynek,scientist,collaborated_with,1,Project Sign,government,1948,
1041,Colm Kelleher,scientist,collaborated_with,1,Robert Bigelow,entrepreneur,,
1103,Hal Puthof,scientist,collaborated_with,1,Robert Bigelow,entrepreneur,0,
1128,James Lacatski,scientist,collaborated_with,1,Robert Bigelow,entrepreneur,2007,
1104,Hal Puthof,scientist,collaborated_with,1,Steven Greer,author,0,
1008,Allen Hynek,scientist,collaborated_with,1,Steven Spielberg,author,0,
1317,Walter Cronkite,tbd,collaborated_with,1,Allen Hynek,scientist,1966,
1318,Walter Cronkite,tbd,collaborated_with,1,Carl Sagan,scientist,1966,
1207,Lue Elizondo,whistleblower,collaborated_with,1,AATIP,government,0,
1208,Lue Elizondo,whistleblower,collaborated_with,1,Christopher Mellon,whistleblower,0,
1256,Ryan Graves,whistleblower,collaborated_with,1,David Fravor,military,0,
1218,Matthew Brown,whistleblower,collaborated_with,1,David Grusch,military,0,
1257,Ryan Graves,whistleblower,collaborated_with,1,David Grusch,military,0,
1209,Lue Elizondo,whistleblower,collaborated_with,3,Ivan Hannel,tbd,0,
1210,Lue Elizondo,whistleblower,collaborated_with,1,Jeremy Corbell,author,0,
1220,Michael Herrera,whistleblower,collaborated_with,1,Steven Greer,author,0,
1258,Ryan Graves,whistleblower,collaborated_with,1,Tim Gallaudet,military,0,
1027,Christopher Mellon,whistleblower,collaborated_with,1,TTSA,civ org,2017-2021,
1206,Lue Elizondo,whistleblower,collaborated_with,1,TTSA,civ org,2017-2022,
1319,Steven Greer,author,criticized,1,Age of Disclosure,documentary,2025,Breaking News Special Podcast: Age Of Deception - An In-Depth Discussion!
1290,Steven Greer,author,criticized,1,Avi Loeb,scientist,0,
1098,George Knapp,author,criticized,2,Leslie Kean,author,2020s,
1291,Steven Greer,author,criticized,1,Lue Elizondo,whistleblower,0,
1292,Steven Greer,author,criticized,1,Tim Burchett,government,0,
1012,Avi Loeb,scientist,criticized,1,Beatriz Villaroel,scientist,0,
1080,Garry Nolan,scientist,criticized,1,Bob Lazar,whistleblower,0,
1288,Stanton Friedman,scientist,criticized,1,Bob Lazar,whistleblower,2018,
1013,Avi Loeb,scientist,criticized,1,Neil D Tyson,scientist,0,
1081,Garry Nolan,scientist,criticized,1,Neil D Tyson,scientist,0,
1014,Avi Loeb,scientist,criticized,1,Ross Coulthart,author,0,
1219,Michael Herrera,whistleblower,criticized,1,David Grusch,military,0,
1287,Stanton Friedman,scientist,debated,2,John Alexander,military,2011,Stanton Friedman vs. Dr. John Alexander - IUFOC 2011 UFO Debate
1069,Edward Condon,government,directed,1,University of Colorado UFO Project,civ org,1968,
1246,Roscoe H. Hillenkoetter,tbd,directed,1,CIA,government,1947,
1071,Edward J. Ruppelt,tbd,directed,1,Project Blue Book,government,1952,
1224,Nathan F. Twining,tbd,directed,1,Project Sign,government,1948,
1315,Tom DeLonge,author,founded,1,TTSA,civ org,2017,
1235,Robert Bigelow,entrepreneur,founded,1,NIDSci,civ org,1995,
1300,Thomas Townsend Brown,tbd,founded,1,NICAP,civ org,1956,
1197,Leslie Kean,author,interviewed,1,Avi Loeb,scientist,0,https://www.youtube.com/watch?v=1WwGGuQljl4
1088,George Knapp,author,interviewed,1,Bob Lazar,whistleblower,1989,The UFO Reporter Part 2: The Files of George Knapp | NewsNation Prime
1136,Jeremy Corbell,author,interviewed,1,Bob Lazar,whistleblower,0,
1198,Leslie Kean,author,interviewed,1,Chuck Schumer,government,0,
1199,Leslie Kean,author,interviewed,1,David Grusch,military,0,
1247,Ross Coulthart,author,interviewed,1,David Grusch,military,2023,
1248,Ross Coulthart,author,interviewed,1,David Grusch,military,0,
1196,Leslie Kean,author,interviewed,1,Fife Symington,government,2007,
1249,Ross Coulthart,author,interviewed,1,Garry Nolan,scientist,0,
1090,George Knapp,author,interviewed,1,Harry Reid,government,0,The UFO Reporter Part 2: The Files of George Knapp | NewsNation Prime
1091,George Knapp,author,interviewed,1,Harry Reid,government,0,
1112,Helene Cooper,author,interviewed,1,Harry Reid,government,0,
1200,Leslie Kean,author,interviewed,1,Harry Reid,government,0,
1250,Ross Coulthart,author,interviewed,1,Jacob Barber,military,0,
1092,George Knapp,author,interviewed,1,James Lacatski,scientist,0,
1137,Jeremy Corbell,author,interviewed,1,James Lacatski,scientist,0,
1138,Jeremy Corbell,author,interviewed,1,Jay Stratton,scientist,0,
1089,George Knapp,author,interviewed,1,John Lear,author,1988,The UFO Reporter Part 2: The Files of George Knapp | NewsNation Prime
1251,Ross Coulthart,author,interviewed,1,Lue Elizondo,whistleblower,0,
